recipe_id,ingredients,cooking_instructions,recipe_name,Net Price,image_path
52,"spaghetti, garlic, olive oil, red pepper flakes, parsley",1. Cook spaghetti. 2. Sauté garlic and red pepper flakes in olive oil. 3. Toss with cooked spaghetti and parsley.,Aglio e Olio,750,Recipes Pictures\Aglio e Olio.jpeg
53,"beef, mushrooms, onion, sour cream, butter",1. Cook beef with mushrooms and onion. 2. Add sour cream and butter. 3. Serve over noodles.,Beef Stroganoff,700,Recipes Pictures\Beef Stroganoff.jpeg
54,"chicken, bell pepper, onion, black beans, corn",1. Cook chicken with bell pepper and onion. 2. Add black beans and corn. 3. Serve over rice.,Chicken and Black Bean Bowl,900,Recipes Pictures\Chicken and Black Bean Bowl.jpeg
55,"pasta, pesto sauce, pine nuts, parmesan cheese, basil","1. Cook pasta. 2. Toss with pesto sauce, toasted pine nuts, parmesan cheese, and fresh basil.",Pesto Pasta with Pine Nuts,1100,Recipes Pictures\Pesto Pasta with Pine Nuts.jpeg
56,"salmon, garlic, ginger, soy sauce, honey","1. Marinate salmon in garlic, ginger, soy sauce, and honey. 2. Grill until cooked through.",Honey Garlic Salmon,1100,Recipes Pictures\Honey Garlic Salmon.jpeg
60,"shrimp, garlic, lemon, parsley, white wine",1. Sauté shrimp with garlic and lemon. 2. Add white wine and parsley. 3. Serve over pasta.,Garlic Lemon Shrimp Linguine,900,Recipes Pictures\Garlic Lemon Shrimp Linguine.jpeg
61,"chicken, bell pepper, onion, pineapple, teriyaki sauce",1. Cook chicken with bell pepper and onion. 2. Add pineapple and teriyaki sauce.,Teriyaki Chicken with Pineapple,1000,Recipes Pictures\Teriyaki Chicken with Pineapple.jpeg
62,"rice, ground beef, black beans, bell pepper, salsa",1. Cook rice. 2. Cook ground beef with bell pepper. 3. Mix with black beans and salsa.,Mexican Beef and Rice,1250,Recipes Pictures\Mexican Beef and Rice.jpeg
63,"pasta, tomato sauce, mozzarella cheese, basil, olive oil","1. Cook pasta. 2. Toss with tomato sauce, mozzarella cheese, basil, and a drizzle of olive oil.",Caprese Pasta,650,Recipes Pictures\Caprese Pasta.jpeg
64,"salmon, asparagus, garlic, lemon, butter","1. Season salmon and asparagus with garlic, lemon, and butter. 2. Roast in the oven.",Lemon Butter Salmon and Asparagus,1100,Recipes Pictures\Lemon Butter Salmon and Asparagus.jpeg
66,"pasta, garlic, anchovies, red pepper flakes, olive oil",1. Cook pasta. 2. Sauté garlic and anchovies in olive oil. 3. Toss with pasta and red pepper flakes.,Spaghetti Aglio e Olio,750,Recipes Pictures\Spaghetti Aglio e Olio.jpeg
67,"chicken, bell pepper, onion, zucchini, taco seasoning",1. Cook chicken with bell pepper and onion. 2. Add zucchini and taco seasoning. 3. Serve in tortillas.,Chicken Taco Filling,500,Recipes Pictures\Chicken Taco Filling.jpeg
68,"rice, shrimp, peas, carrots, soy sauce","1. Cook rice. 2. Sauté shrimp with peas, carrots, and soy sauce. 3. Serve with rice.",Shrimp Fried Rice,850,Recipes Pictures\Shrimp Fried Rice.jpeg
69,"beef, bell pepper, onion, tomatoes, chili powder",1. Cook beef with bell pepper and onion. 2. Add tomatoes and chili powder. 3. Simmer until thickened.,Chili Con Carne,350,Recipes Pictures\Chili Con Carne.jpeg
71,"pasta, alfredo sauce, shrimp, spinach, garlic","1. Cook pasta. 2. Mix with alfredo sauce, sautéed shrimp, spinach, and garlic.",Shrimp and Spinach Alfredo,1100,Recipes Pictures\Shrimp and Spinach Alfredo.jpeg
72,"chicken, bell pepper, onion, black beans, rice",1. Cook chicken with bell pepper and onion. 2. Mix with black beans and serve over rice.,Chicken and Black Bean Rice Bowl,900,Recipes Pictures\Chicken and Black Bean Rice Bowl.jpeg
73,"potatoes, bacon, cheddar cheese, sour cream, chives","1. Bake potatoes. 2. Top with bacon, cheddar cheese, sour cream, and chives.",Loaded Potato Skins,500,Recipes Pictures\Loaded Potato Skins.jpeg
74,"beef, bell pepper, onion, mushrooms, garlic","1. Sauté beef with bell pepper, onion, mushrooms, and garlic. 2. Serve over egg noodles.",Beef and Mushroom Stroganoff,1450,Recipes Pictures\Beef and Mushroom Stroganoff.jpeg
75,"pasta, tomato sauce, ground turkey, garlic, basil",1. Cook pasta. 2. Cook ground turkey with garlic and basil. 3. Mix with tomato sauce.,Turkey Bolognese,1100,Recipes Pictures\Turkey Bolognese.jpeg
76,"salmon, garlic, ginger, soy sauce, sesame seeds","1. Marinate salmon in garlic, ginger, soy sauce, and sesame seeds. 2. Grill until cooked through.",Sesame Ginger Salmon,1000,Recipes Pictures\Sesame Ginger Salmon.jpeg
78,"pasta, alfredo sauce, bacon, peas, parmesan cheese","1. Cook pasta. 2. Mix with alfredo sauce, cooked bacon, peas, and parmesan cheese.",Bacon Alfredo Pasta,750,Recipes Pictures\Bacon Alfredo Pasta.jpeg
79,"shrimp, garlic, lemon, parsley, linguine",1. Sauté shrimp with garlic and lemon. 2. Toss with parsley and linguine.,Lemon Garlic Shrimp Linguine,1000,Recipes Pictures\Lemon Garlic Shrimp Linguine.jpeg
80,"chicken, bell pepper, onion, pineapple, sweet and sour sauce",1. Cook chicken with bell pepper and onion. 2. Add pineapple and sweet and sour sauce.,Sweet and Sour Chicken Stir-Fry,950,Recipes Pictures\Sweet and Sour Chicken Stir-Fry.jpeg
81,"rice, ground beef, black beans, corn, taco seasoning","1. Cook rice. 2. Cook ground beef with black beans, corn, and taco seasoning. 3. Serve in bowls.",Taco Rice Bowls,700,Recipes Pictures\Taco Rice Bowls.jpeg
82,"pasta, garlic, olive oil, broccoli, parmesan cheese",1. Cook pasta. 2. Sauté garlic and broccoli in olive oil. 3. Toss with parmesan cheese.,Garlic Broccoli Parmesan Pasta,800,Recipes Pictures\Garlic Broccoli Parmesan Pasta.jpeg
83,"chicken, barbecue sauce, coleslaw, pickles, buns",1. Cook chicken. 2. Toss with barbecue sauce. 3. Serve on buns with coleslaw and pickles.,Barbecue Chicken Sandwiches,1000,Recipes Pictures\Barbecue Chicken Sandwiches.jpeg
85,"pasta, alfredo sauce, chicken, spinach, sun-dried tomatoes","1. Cook pasta and chicken. 2. Mix with alfredo sauce, spinach, and sun-dried tomatoes.",Chicken and Spinach Alfredo,900,Recipes Pictures\Chicken and Spinach Alfredo.jpeg
86,"salmon, lemon, garlic, thyme, olive oil","1. Season salmon with lemon, garlic, thyme, and olive oil. 2. Bake in the oven.",Lemon Garlic Thyme Salmon,850,Recipes Pictures\Lemon Garlic Thyme Salmon.jpeg
87,"beef, bell pepper, onion, teriyaki sauce, sesame seeds",1. Sauté beef with bell pepper and onion. 2. Toss with teriyaki sauce and sesame seeds.,Teriyaki Beef Stir-Fry,1250,Recipes Pictures\Teriyaki Beef Stir-Fry.jpeg
89,"pasta, garlic, olive oil, cherry tomatoes, basil",1. Cook pasta. 2. Sauté garlic and cherry tomatoes in olive oil. 3. Toss with basil.,Garlic Cherry Tomato Pasta,750,Recipes Pictures\Garlic Cherry Tomato Pasta.jpeg
90,"chicken, bell pepper, onion, garlic, Cajun seasoning","1. Cook chicken with bell pepper, onion, garlic, and Cajun seasoning. 2. Serve over rice.",Cajun Chicken and Rice,850,Recipes Pictures\Cajun Chicken and Rice.jpeg
91,"pasta, garlic, olive oil, red pepper flakes, parmesan cheese",1. Cook pasta. 2. Sauté garlic and red pepper flakes in olive oil. 3. Toss with cooked pasta and parmesan cheese.,Spicy Garlic Pasta,600,Recipes Pictures\Spicy Garlic Pasta.jpeg
93,"chicken, lemon, garlic, oregano, olive oil","1. Season chicken with lemon, garlic, oregano, and olive oil. 2. Grill until cooked through.",Lemon Oregano Chicken,800,Recipes Pictures\Lemon Oregano Chicken.jpeg
94,"potatoes, garlic, butter, chives, sour cream","1. Bake potatoes. 2. Top with garlic butter, chives, and sour cream.",Garlic Butter Smashed Potatoes,650,Recipes Pictures\Garlic Butter Smashed Potatoes.jpeg
95,"shrimp, garlic, white wine, lemon, butter",1. Sauté shrimp with garlic and white wine. 2. Squeeze lemon and add butter. 3. Serve with crusty bread.,Garlic Lemon Butter Shrimp Scampi,900,Recipes Pictures\Garlic Lemon Butter Shrimp Scampi.jpeg
97,"pasta, tomato sauce, ground beef, garlic, basil",1. Cook pasta. 2. Cook ground beef with garlic and basil. 3. Mix with tomato sauce.,Basil Meatball Pasta,1200,Recipes Pictures\Basil Meatball Pasta.jpeg
98,"salmon, garlic, dill, lemon, butter","1. Season salmon with garlic, dill, and lemon zest. 2. Sauté in butter until golden.",Garlic Dill Butter Salmon,1150,Recipes Pictures\Garlic Dill Butter Salmon.jpeg
99,"beef, bell pepper, onion, teriyaki sauce, sesame seeds",1. Sauté beef with bell pepper and onion. 2. Toss with teriyaki sauce and sesame seeds.,Teriyaki Beef and Vegetables,1100,Recipes Pictures\Teriyaki Beef and Vegetables.jpeg
102,"chicken, lemon, garlic, paprika, olive oil","1. Season chicken with lemon, garlic, paprika, and olive oil. 2. Grill until cooked through.",Lemon Paprika Grilled Chicken,1050,Recipes Pictures\Lemon Paprika Grilled Chicken.jpeg
103,"rice, black beans, corn, bell pepper, cumin","1. Cook rice. 2. Mix with black beans, corn, bell pepper, and a pinch of cumin.",Cumin Rice and Beans,550,Recipes Pictures\Cumin Rice and Beans.jpeg
104,"shrimp, garlic, tomato, basil, white wine",1. Sauté shrimp with garlic and tomatoes. 2. Add white wine and basil. 3. Serve over linguine.,Garlic Basil Shrimp Linguine,950,Recipes Pictures\Garlic Basil Shrimp Linguine.jpeg
106,"pasta, alfredo sauce, chicken, peas, mushrooms","1. Cook pasta. 2. Mix with alfredo sauce, sautéed chicken, peas, and mushrooms.",Chicken Alfredo with Mushrooms,1250,Recipes Pictures\Chicken Alfredo with Mushrooms.jpeg
107,"salmon, lemon, garlic, dill, olive oil","1. Season salmon with lemon, garlic, and dill. 2. Roast in the oven with olive oil.",Lemon Dill Baked Salmon,950,Recipes Pictures\Lemon Dill Baked Salmon.jpeg
108,"beef, bell pepper, onion, hoisin sauce, sesame seeds",1. Cook beef with bell pepper and onion. 2. Toss with hoisin sauce and sesame seeds.,Hoisin Beef Stir-Fry,1200,Recipes Pictures\Hoisin Beef Stir-Fry.jpeg
110,"pasta, garlic, olive oil, spinach, parmesan cheese",1. Cook pasta. 2. Sauté garlic in olive oil. 3. Add spinach and cooked pasta. 4. Top with parmesan cheese.,Garlic Spinach Pasta,850,Recipes Pictures\Garlic Spinach Pasta.jpeg
111,"chicken, lemon, garlic, thyme, honey","1. Season chicken with lemon, garlic, thyme, and honey. 2. Bake in the oven until golden brown.",Honey Thyme Roast Chicken,1300,Recipes Pictures\Honey Thyme Roast Chicken.jpeg
112,"rice, ground beef, black beans, bell pepper, salsa",1. Cook rice. 2. Cook ground beef with bell pepper. 3. Mix with black beans and salsa.,Mexican Beef and Rice Bowl,1090,Recipes Pictures\Mexican Beef and Rice Bowl.jpeg
113,"pasta, tomato sauce, garlic, red pepper flakes, olives",1. Cook pasta. 2. Sauté garlic and red pepper flakes in olive oil. 3. Mix with tomato sauce and olives.,Spicy Olive Tomato Pasta,750,Recipes Pictures\Spicy Olive Tomato Pasta.jpeg
114,"salmon, lemon, garlic, butter, capers",1. Season salmon with lemon and garlic. 2. Sauté in butter with capers. 3. Serve over angel hair pasta.,Lemon Caper Butter Salmon,1000,Recipes Pictures\Lemon Caper Butter Salmon.jpeg
115,"beef, bell pepper, onion, ginger, soy sauce","1. Sauté beef with bell pepper, onion, ginger, and soy sauce. 2. Serve over jasmine rice.",Ginger Beef Stir-Fry,1200,Recipes Pictures\Ginger Beef Stir-Fry.jpeg
117,"pasta, alfredo sauce, chicken, broccoli, sun-dried tomatoes","1. Cook pasta and chicken. 2. Mix with alfredo sauce, steamed broccoli, and sun-dried tomatoes.",Chicken Alfredo with Sun-Dried Tomatoes,990,Recipes Pictures\Chicken Alfredo with Sun-Dried Tomatoes.jpeg
118,"shrimp, garlic, lemon, butter, parsley",1. Sauté shrimp with garlic in butter. 2. Squeeze lemon and add parsley. 3. Serve over linguine.,Garlic Lemon Butter Shrimp Pasta,1050,Recipes Pictures\Garlic Lemon Butter Shrimp Pasta.jpeg
120,"rice, tofu, broccoli, carrot, soy sauce",1. Cook rice. 2. Sauté tofu with broccoli and carrot. 3. Add soy sauce and green onions.,Tofu and Vegetable Stir-Fry,900,Recipes Pictures\Tofu and Vegetable Stir-Fry.jpeg
121,"salmon, garlic, lemon, thyme, butter","1. Season salmon with garlic, lemon, and thyme. 2. Cook in butter until flaky.",Garlic Lemon Thyme Salmon,1050,Recipes Pictures\Garlic Lemon Thyme Salmon.jpeg
122,"chicken, ginger, soy sauce, sesame oil, scallions","1. Marinate chicken in ginger, soy sauce, and sesame oil. 2. Grill and top with scallions.",Ginger Soy Chicken,1150,Recipes Pictures\Ginger Soy Chicken.jpeg
124,"beef, bell pepper, onion, garlic, hoisin sauce","1. Sauté beef with bell pepper, onion, and garlic. 2. Stir in hoisin sauce. 3. Serve over rice.",Hoisin Beef and Peppers,1250,Recipes Pictures\Hoisin Beef and Peppers.jpeg
125,"shrimp, garlic, lemon, parsley, white wine",1. Sauté shrimp with garlic in white wine. 2. Squeeze lemon and add parsley. 3. Serve over linguine.,Garlic Lemon Wine Shrimp Pasta,1200,Recipes Pictures\Garlic Lemon Wine Shrimp Pasta.jpeg
126,"chicken, lemon, rosemary, garlic, olive oil","1. Season chicken with lemon, rosemary, garlic, and olive oil. 2. Roast until golden brown.",Rosemary Lemon Roast Chicken,1250,Recipes Pictures\Rosemary Lemon Roast Chicken.jpeg
127,"rice, black beans, corn, cilantro, lime","1. Cook rice. 2. Mix with black beans, corn, cilantro, and lime juice.",Cilantro Lime Rice and Beans,750,Recipes Pictures\Cilantro Lime Rice and Beans.jpeg
129,"pasta, garlic, olive oil, sun-dried tomatoes, spinach",1. Cook pasta. 2. Sauté garlic in olive oil. 3. Mix with sun-dried tomatoes and spinach.,Garlic Spinach Sun-Dried Tomato Pasta,950,Recipes Pictures\Garlic Spinach Sun-Dried Tomato Pasta.jpeg
131,"chicken, lemon, garlic, thyme, honey","1. Season chicken with lemon, garlic, thyme, and honey. 2. Bake until tender and drizzle with honey.",Honey Thyme Baked Chicken,1050,Recipes Pictures\Honey Thyme Baked Chicken.jpeg
132,"rice, black-eyed peas, ham, onion, garlic","1. Cook rice. 2. Mix with black-eyed peas, ham, sautéed onion, and garlic.",Black-Eyed Peas and Rice,700,Recipes Pictures\Black-Eyed Peas and Rice.jpeg
136,"pasta, tomato sauce, garlic, basil, parmesan cheese","1. Cook pasta. 2. Sauté garlic in olive oil. 3. Mix with tomato sauce, basil, and parmesan cheese.",Garlic Basil Tomato Pasta,890,Recipes Pictures\Garlic Basil Tomato Pasta.jpeg
138,"beef, bell pepper, onion, teriyaki sauce, sesame seeds",1. Sauté beef with bell pepper and onion. 2. Toss with teriyaki sauce and sesame seeds.,Teriyaki Beef and Peppers,1250,Recipes Pictures\Teriyaki Beef and Peppers.jpeg
147,"chicken, lemon, garlic, thyme, honey","1. Season chicken with lemon, garlic, thyme, and honey. 2. Grill until cooked through.",Honey Lemon Thyme Grilled Chicken,1400,Recipes Pictures\Honey Lemon Thyme Grilled Chicken.jpeg
148,"pasta, garlic, olive oil, cherry tomatoes, basil",1. Cook pasta. 2. Sauté garlic in olive oil. 3. Mix with cherry tomatoes and fresh basil.,Garlic Tomato Basil Pasta,1000,Recipes Pictures\Garlic Tomato Basil Pasta.jpeg
149,"salmon, lemon, garlic, dill, butter","1. Season salmon with lemon, garlic, and dill. 2. Sauté in butter until flaky.",Dill Butter Lemon Salmon,950,Recipes Pictures\Dill Butter Lemon Salmon.jpeg
150,"beef, broccoli, garlic, soy sauce, sesame oil",1. Sauté beef with garlic in soy sauce and sesame oil. 2. Serve over steamed broccoli and rice.,Beef and Broccoli with Garlic Sauce,1190,Recipes Pictures\Beef and Broccoli with Garlic Sauce.jpeg
151,"chicken, lemon, rosemary, garlic, olive oil","1. Season chicken with lemon, rosemary, garlic, and olive oil. 2. Roast until golden brown.",Lemon Rosemary Roasted Chicken,1050,Recipes Pictures\Lemon Rosemary Roasted Chicken.jpeg
152,"pasta, garlic, olive oil, spinach, feta cheese",1. Cook pasta. 2. Sauté garlic in olive oil. 3. Mix with spinach and crumbled feta cheese.,Garlic Spinach Feta Pasta,850,Recipes Pictures\Garlic Spinach Feta Pasta.jpeg
154,"pasta, tomato sauce, garlic, basil, mozzarella cheese","1. Cook pasta. 2. Sauté garlic in olive oil. 3. Mix with tomato sauce, basil, and mozzarella cheese.",Garlic Tomato Mozzarella Pasta,900,Recipes Pictures\Garlic Tomato Mozzarella Pasta.jpeg
155,"salmon, lemon, garlic, butter, parsley","1. Season salmon with lemon, garlic, and parsley. 2. Sauté in butter until flaky.",Lemon Garlic Butter Parsley Salmon,1100,Recipes Pictures\Lemon Garlic Butter Parsley Salmon.jpeg
156,"beef, bell pepper, onion, ginger, teriyaki sauce","1. Sauté beef with bell pepper, onion, ginger, and teriyaki sauce. 2. Serve over rice.",Teriyaki Ginger Beef Stir-Fry,1450,Recipes Pictures\Teriyaki Ginger Beef Stir-Fry.jpeg
157,"chicken, lemon, garlic, thyme, honey","1. Season chicken with lemon, garlic, thyme, and honey. 2. Bake until tender and drizzle with honey.",Honey Lemon Thyme Baked Chicken,1050,Recipes Pictures\Honey Lemon Thyme Baked Chicken.jpeg
159,"salmon, lemon, garlic, dill, butter","1. Season salmon with lemon, garlic, and dill. 2. Sauté in butter until flaky.",Lemon Dill Butter Salmon,1100,Recipes Pictures\Lemon Dill Butter Salmon.jpeg
